Unnamed: 0,id,tweet,label
3484,78969495,ko akuya batakai yar can bin mazaba wlh kowani space zakaganta,Offensive
1595,76132962,"""idan ka kwanta da matarka ka samu biyan bukata da ita ladan ka a wurin allah kamar ka kashe arna guda 70 ne""",Normal
6097,1637388977895358466,wawa jaki mara tarbiya dan jaka sakarai ##url,Offensive
4528,78970547,@username yar wahala cee kawao,Offensive
3343,78969353,@username kaji biri wai sarkin yakin maryam booth. dolo kawai,Offensive
5102,1183371068586840065,muna kira ga gwamnatin tarayya tayi mana adalci ta hukunta wad'annan maciya amana munafukan inyamurai da su ke sace mana y'ay'a da k'anne su na mayar da su bayi su na halakar mana da su.   #justiceforkano9 ##url,Hate
1453,76132820,nothing but tsamiyar birai (monkeys) 🤣 ##url,Normal
5522,1493186955584188425,@username allah yasakawa yayan talakawa,Normal
5626,1621976541700804609,"@username ahh toh, almajiri ina ruwansa da harkar karuwai 😂",Normal
2190,76133557,#halamadrid din uwarka idan kuka qara barin aka cinye mu wallahi duk sai munci uwarku sakarkaru kawai. ##url,Offensive
840,76132206,su mallam kuma ba labarin kuka. kamar baisan talakawa sun shan wahala a kasar nan ba.,Normal
481,73178284,even some of our useless brothers on here were tweeting and posting fake news on the lekki stuff but an kashe yan'uwanku a oyigbo kaji yan kutumar uba munafukai duk sunyi tsit wawaye kawai ku komai na arna shine ya dameku matsiyatan banza matsiyatan wofi mtswee,Offensive
912,76132278,na biyo ta stadium na yanki grass na saka a matse matsin uwarku yan iskan banza ana kashemu kuna kashe kudinmu yan iska wlh duk dan iskanda yazo katsina yamana haka sai munci uwarshi tunda daukemu shasha shu ##url,Offensive
2977,78968987,"@username rabu da wakilan arna, bakomai bane face biyan bukata ta duniya. kasan kuma 99% din shuwagabanninmu jahilai ne bangaren ilimin addini💔",Offensive
4864,1385698392043626502,@username yar wahala ce wlh oga,Offensive
5543,1600199175307948034,@username maybe kumaaa amma idan ba mahaukaci bana gaskiya ya tara yan iskan abokai😂😂😂,Offensive
3144,78969154,@username kaji maganar banza toh so kke muyi ta xama da mouth odour kaman wani kazami sannun fah 🤔,Offensive
3827,78969840,@username arne means idol worshippers/infidel.. mind you i'm a christian and i don't worship idol neither am i an infidel.. 🙏,Normal
832,76132198,@username toh malam baka biyo ta hanyar da ya dace kayimin magana ba and guy dinda kakeso na goge video shi anriga an kamashi yanxu haka yana hannun hukuma indama can kaje ka tsayamishi yafi ka tsaya nan kana surutun banza da bazaii amfane shi ba,Offensive
365,73178168,dan shegiya ba.. ##url,Offensive
1929,76133296,"lewis doesn't feel comfortable racing in saudi arabia shegey arne the mf was even saying ""religion can change"" like it is something that has edit button ##url",Offensive
